,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bank denies loan/problem with loan,gets in accident/crashes car,car breaks down/needs repairs,gets scammed,other,car is a transformer or alive,"gets something other than new car (bike, motorcycle, uber)",gets money from old car or its parts (from dealer or other offer),wins lottery/gets  money (not from selling car),bank approved loan,gets car other way,"gets a good deal on the new car (less expensive, trade in goo value)",decides to keep old car,car worth more than expected,negative,positive,neither,Word Given in Scenario,Word Not Given,controllable,uncontrollable,neither
,random,session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,reviewed_at_datetime,entered_code,Nationality,Sex,Response ID,Time Started,Date Submitted,Status,Contact ID,Legacy Comments,Comments,Language,Referer,SessionID,valence_condition,means_condition,user_id,material.variable,material,variable,response,ll_neg_ans1,ll_neg_ans2,ll_neg_ans3,ll_neg_ans4,ll_other,ll_other1,ll_other2,ll_pos_ans1,ll_pos_ans2,ll_pos_ans3,ll_pos_ans4,ll_pos_ans5,ll_pos_ans6,ll_pos_ans7,neg,pos,neither,goal_object,non_goal_object,controllable,uncontrollable,neither_control
3418,0.661568697,5f5b8ebadae8082ed20b93fb,5a0c4184fe645f0001e9f5dd,APPROVED,50:39.5,01:16.4,636.891,36,40:49.9,510FA8B2,United Kingdom,Female,29,"Sep 11, 2020 10:50:41 am","Sep 11, 2020 11:01:11 am",Complete,,,,English,,1599835841_5f5b8ec1b66b21.58174034,positive,absent,5a0c4184fe645f0001e9f5dd,lucy_loan.response,lucy_loan,response,Someone she knows is looking for a car and is happy to pay her more than she expected.,,,,,,,,,,,,,,1,,1,,1,,,1,
3485,0.867688758,5f5b66ae6c48aa07556fd141,5c3811791ede2b000115555b,APPROVED,59:45.1,11:01.4,676.227,35,16:35.9,4DE9B385,United States,Male,35,"Sep 11, 2020 7:59:46 am","Sep 11, 2020 8:10:58 am",Complete,,,,English,,1599825586_5f5b66b2ce0642.11886456,positive,present,5c3811791ede2b000115555b,lucy_loan.response,lucy_loan,response,Lucy gets hit with a huge car insurance bill for her new car.,,,,,1,,,,,,,,,,1,,,1,,,,1
3340,0.916670263,5f5ced7ac81d3650b69f07be,5f5a5ff6b17ec410b0b437f9,APPROVED,51:45.8,35:32.8,2626.953,44,09:24.5,3833C7F5,United States,,18,"Sep 12, 2020 11:52:00 am","Sep 12, 2020 12:35:24 pm",Complete,,,,English,,1599925919_5f5cee9fe59874.43723846,negative,absent,5f5a5ff6b17ec410b0b437f9,lucy_loan.response,lucy_loan,response,I don't think she got a loan from the bank,1,,,,,,,,,,,,,,1,,,1,,,,1
3483,0.215043252,5f5b669a1c93d2292d694c00,5d66c1382d1a18000170759b,APPROVED,01:27.9,09:30.1,482.158,25,16:32.0,4DE9B385,United Kingdom,Female,44,"Sep 11, 2020 8:01:29 am","Sep 11, 2020 8:09:27 am",Complete,,,,English,,1599825689_5f5b6719c4d1e6.88616502,positive,present,5d66c1382d1a18000170759b,lucy_loan.response,lucy_loan,response,Someone offers her more money than the dealer,,,,,,,,1,,,,,,,,1,,1,,,1,
3398,0.699693396,5f5b8d91d39af52e8a670acd,5adf2a17c2b5db0001d8dc29,APPROVED,45:42.5,04:28.9,1126.389,44,40:10.6,510FA8B2,United Kingdom,Female,8,"Sep 11, 2020 10:45:44 am","Sep 11, 2020 11:04:26 am",Complete,,,,English,,1599835544_5f5b8d98ba73c9.26206518,positive,absent,5adf2a17c2b5db0001d8dc29,lucy_loan.response,lucy_loan,response,SHe says she will sell it anyway as she has too many children to fit into her current car ,,,,,1,,,,,,,,,,,,1,1,,1,,
3380,0.739069214,5f5cf0b7b79c5f0b9cc58fa6,5bfc0eb58422770001d9b668,APPROVED,00:55.4,13:41.0,765.554,36,10:46.9,3833C7F5,United Kingdom,Female,43,"Sep 12, 2020 12:00:59 pm","Sep 12, 2020 12:13:33 pm",Complete,,,,English,,1599926459_5f5cf0bbcf2df8.41541557,negative,absent,5bfc0eb58422770001d9b668,lucy_loan.response,lucy_loan,response,someone comes and buys her old car,,,,,,,,1,,,,,,,,1,,1,,,1,
3378,0.180750502,5f5cf08fd39af550d0f22342,5c3cb9759883d4000141f800,APPROVED,00:20.4,30:51.7,1831.238,49,10:42.4,3833C7F5,United Kingdom,Male,44,"Sep 12, 2020 12:00:23 pm","Sep 12, 2020 12:30:47 pm",Complete,,,,English,,1599926423_5f5cf097272801.33303798,negative,absent,5c3cb9759883d4000141f800,lucy_loan.response,lucy_loan,response,the car dealer offers her a great deal,,,,,,,,1,,,,,,,,1,,1,,,1,
3410,0.362086028,5f5b8e292be30c2ec8597664,5ed814fc9e50c230c1efb63c,APPROVED,49:39.0,03:44.7,845.653,47,40:33.9,510FA8B2,United Kingdom,Male,21,"Sep 11, 2020 10:49:41 am","Sep 11, 2020 11:03:42 am",Complete,,,,English,,1599835781_5f5b8e85b40de4.01795178,positive,absent,5ed814fc9e50c230c1efb63c,lucy_loan.response,lucy_loan,response,"The bank cancelled her loan and she has no car, either old or new.",1,,,,,,,,,,,,,,1,,,1,,,,1
3389,0.450130049,5f5cf11ede3d5450b94bd1ed,5c8a616f692c6100013c845d,APPROVED,02:44.7,11:33.9,529.182,23,11:05.6,3833C7F5,United Kingdom,Female,52,"Sep 12, 2020 12:02:47 pm","Sep 12, 2020 12:11:30 pm",Complete,,,,English,,1599926567_5f5cf127299f63.52774819,negative,absent,5c8a616f692c6100013c845d,lucy_loan.response,lucy_loan,response,She sells the old car to someone who wants it for a lot of money.,,,,,,,,1,,,,,,,,1,,1,,1,,
