,Unnamed: 0,random,session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,reviewed_at_datetime,entered_code,Nationality,Sex,Response ID,Time Started,Date Submitted,Status,Contact ID,Legacy Comments,Comments,Language,Referer,SessionID,valence_condition,means_condition,user_id,material.variable,material,variable,response,bh_neg_ans1,bh_neg_ans2,bh_neg_ans3,bh_neg_ans4,bh_neg_ans5,bh_neg_ans6,bh_neg_ans7,bh_neg_ans8,other,bh_pos_ans1,bh_pos_ans2,bh_pos_ans3,bh_pos_ans4,bh_pos_ans5,neg,pos,neither,goal_object,non_goal_object,controllable,uncontrollable,neither_control
0,1272,0.084438208-->0.8803340559999999,5f5b6568332910294f46d699,5e1b21bd07c9c73546a11776,APPROVED,54:18.8,01:08.4,409.569,43,15:29.8,4DE9B385,United Kingdom,Female,10,"Sep 11, 2020 7:54:22 am","Sep 11, 2020 8:01:06 am",Complete,0,0,0,English,0,1599825262_5f5b656e28ca35.63881166,positive,present,5e1b21bd07c9c73546a11776,bill_holiday.response,bill_holiday,response,Bill has a holiday romance,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0
1,1263,0.618693656-->0.492474433,5f5b649546c58b295460b78e,5e65408fdf313c2bcfa6e24f,APPROVED,51:21.7,00:02.4,520.697,20,15:10.7,4DE9B385,United Kingdom,Female,6,"Sep 11, 2020 7:51:23 am","Sep 11, 2020 7:59:59 am",Complete,0,0,0,English,0,1599825083_5f5b64bb706b88.01178787,positive,present,5e65408fdf313c2bcfa6e24f,bill_holiday.response,bill_holiday,response,some of his items are missing,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
2,1254,0.8453213390000001-->0.71690034,5f5b9f0ba38ae60f13481536,5f2a817d88f11d29b7f0c74f,APPROVED,00:11.2,26:37.6,1586.424,30,41:40.5,510FA8B2,United Kingdom,Male,58,"Sep 11, 2020 12:00:19 pm","Sep 11, 2020 12:26:36 pm",Complete,0,0,0,English,0,1599840019_5f5b9f13308255.67969847,positive,absent,5f2a817d88f11d29b7f0c74f,bill_holiday.response,bill_holiday,response,His luggage is at his hotel when he returns at the end of the day,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
3,1123,0.580938145-->0.43985321,5f5bc4e59b6b83360c48a5cb,5f1968d176ea4f02a1729bdc,APPROVED,41:48.0,51:10.5,562.504,26,58:53.5,40D80FA4,United Kingdom,Female,29,"Sep 11, 2020 2:41:50 pm","Sep 11, 2020 2:51:08 pm",Complete,0,0,0,English,0,1599849710_5f5bc4ee7447f5.64887714,negative,present,5f1968d176ea4f02a1729bdc,bill_holiday.response,bill_holiday,response,Bill gets fired when he returns to work.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
4,1186,0.7331458000000001-->0.515842451,5f5cf06ed56e315077da79a4,5ee6208d05de7603946ebf53,APPROVED,59:47.2,07:44.2,476.964,18,10:38.6,3833C7F5,United Kingdom,Male,39,"Sep 12, 2020 11:59:48 am","Sep 12, 2020 12:07:43 pm",Complete,0,0,0,English,0,1599926388_5f5cf0747acf18.31058727,negative,absent,5ee6208d05de7603946ebf53,bill_holiday.response,bill_holiday,response,He got fully refunded for his holiday because of his inconvenience,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
5,1281,0.559731952-->0.6314508870000001,5f5b65e1feaaf928d7de77df,5f2aa1a87bf471304a994dff,APPROVED,56:27.9,04:40.2,492.326,30,16:05.8,4DE9B385,United Kingdom,Female,24,"Sep 11, 2020 7:56:37 am","Sep 11, 2020 8:04:39 am",Complete,0,0,0,English,0,1599825397_5f5b65f587ee38.06918633,positive,present,5f2aa1a87bf471304a994dff,bill_holiday.response,bill_holiday,response,he loses his passport ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
6,1293,0.258871881-->0.6603878879999999,5f5b669a1c93d2292d694c00,5d66c1382d1a18000170759b,APPROVED,01:27.9,09:30.1,482.158,25,16:32.0,4DE9B385,United Kingdom,Female,44,"Sep 11, 2020 8:01:29 am","Sep 11, 2020 8:09:27 am",Complete,0,0,0,English,0,1599825689_5f5b6719c4d1e6.88616502,positive,present,5d66c1382d1a18000170759b,bill_holiday.response,bill_holiday,response,Luggage gets lost on the way home including his passport,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
7,1304,0.742421615-->0.9933352390000001,5f5b67317fa75629a135af88,5dce02a5e10220052b35144a,APPROVED,03:19.3,17:58.0,878.659,29,16:52.9,4DE9B385,United Kingdom,Male,49,"Sep 11, 2020 8:03:21 am","Sep 11, 2020 8:17:55 am",Complete,0,0,0,English,0,1599825801_5f5b6789b9f2b2.14179403,positive,present,5dce02a5e10220052b35144a,bill_holiday.response,bill_holiday,response,His passport goes missing and has trouble getting back home.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
8,1107,0.462218144-->0.27914533199999997,5f5bc3863c138636b64f0259,56163e6e7ffc8a0005812df2,APPROVED,35:55.9,44:33.9,518.062,42,58:20.7,40D80FA4,United Kingdom,Female,13,"Sep 11, 2020 2:35:59 pm","Sep 11, 2020 2:44:30 pm",Complete,0,0,0,English,0,1599849359_5f5bc38f1f8e01.10916955,negative,present,56163e6e7ffc8a0005812df2,bill_holiday.response,bill_holiday,response,He comes home to find out he has to self quarantine and he loses his job,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
9,1199,0.35225732200000004-->0.529306211,5f5cf11ede3d5450b94bd1ed,5c8a616f692c6100013c845d,APPROVED,02:44.7,11:33.9,529.182,23,11:05.6,3833C7F5,United Kingdom,Female,52,"Sep 12, 2020 12:02:47 pm","Sep 12, 2020 12:11:30 pm",Complete,0,0,0,English,0,1599926567_5f5cf127299f63.52774819,negative,absent,5c8a616f692c6100013c845d,bill_holiday.response,bill_holiday,response,The luggage is found and Bill is compensated with money.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
10,1295,0.6751941140000001-->0.457668553,5f5b66ae6c48aa07556fd141,5c3811791ede2b000115555b,APPROVED,59:45.1,11:01.4,676.227,35,16:35.9,4DE9B385,United States,Male,35,"Sep 11, 2020 7:59:46 am","Sep 11, 2020 8:10:58 am",Complete,0,0,0,English,0,1599825586_5f5b66b2ce0642.11886456,positive,present,5c3811791ede2b000115555b,bill_holiday.response,bill_holiday,response,He returns home only to find out he has been fired from his job.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
11,1223,0.999691379-->0.804826748,5f5b8e9046c58b2e9ac2aabc,5c51d3e6a163ac0001721273,APPROVED,50:00.2,06:23.2,983.078,44,40:40.0,510FA8B2,United Kingdom,Male,27,"Sep 11, 2020 10:50:01 am","Sep 11, 2020 11:06:21 am",Complete,0,0,0,English,0,1599835801_5f5b8e999a8045.31894381,positive,absent,5c51d3e6a163ac0001721273,bill_holiday.response,bill_holiday,response,His airline sends him a replacement passport,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
12,1266,0.777666438-->0.624161557,5f5b6524291dc628dbf71e61,5c27b1270091e40001ca1d1b,APPROVED,53:11.5,58:21.0,309.435,39,15:17.4,4DE9B385,United Kingdom,Female,9,"Sep 11, 2020 7:53:13 am","Sep 11, 2020 7:58:18 am",Complete,0,0,0,English,0,1599825193_5f5b65298b3c74.24890936,positive,present,5c27b1270091e40001ca1d1b,bill_holiday.response,bill_holiday,response,He forgets that he packed his passport in his suitcase on the way back,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
13,1120,0.8918582420000001-->0.880208604,5f5bc49d69102536ff6a47ad,5aff1adb293d310001021738,APPROVED,40:36.5,46:28.7,352.171,21,58:46.2,40D80FA4,United Kingdom,Female,24,"Sep 11, 2020 2:40:39 pm","Sep 11, 2020 2:46:26 pm",Complete,0,0,0,English,0,1599849639_5f5bc4a7433be9.21990515,negative,present,5aff1adb293d310001021738,bill_holiday.response,bill_holiday,response,he has a terrible time on the holiday,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
14,1113,0.35574107899999996-->0.9666076790000001,5f5bc414d99525367aaf6936,5873b2d22bd3c90001859b76,APPROVED,38:16.8,53:48.2,931.413,41,58:32.8,40D80FA4,United Kingdom,Male,17,"Sep 11, 2020 2:38:18 pm","Sep 11, 2020 2:53:46 pm",Complete,0,0,0,English,0,1599849498_5f5bc41aa1efb7.17305624,negative,present,5873b2d22bd3c90001859b76,bill_holiday.response,bill_holiday,response,He has to go into isolation because of covid restrictions.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
15,1195,0.44535184200000005-->0.8359553809999999,5f5cf0f035193650c9abf9ab,5efa601eae7659158ead1753,APPROVED,01:58.0,11:48.2,590.204,32,10:57.3,3833C7F5,United Kingdom,Female,50,"Sep 12, 2020 12:02:02 pm","Sep 12, 2020 12:11:42 pm",Complete,0,0,0,English,0,1599926522_5f5cf0fa54efc4.33683768,negative,absent,5efa601eae7659158ead1753,bill_holiday.response,bill_holiday,response,his stuff turns up,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
16,1190,0.646833202-->0.6761334729999999,5f5cf0b7b79c5f0b9cc58fa6,5bfc0eb58422770001d9b668,APPROVED,00:55.4,13:41.0,765.554,36,10:46.9,3833C7F5,United Kingdom,Female,43,"Sep 12, 2020 12:00:59 pm","Sep 12, 2020 12:13:33 pm",Complete,0,0,0,English,0,1599926459_5f5cf0bbcf2df8.41541557,negative,absent,5bfc0eb58422770001d9b668,bill_holiday.response,bill_holiday,response,his luggage turns up!,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
17,1250,0.9119184779999999-->0.439325187,5f5b8fdf55ee7f2e87cb8b61,5f5158c1573b9938ed97d812,APPROVED,55:29.3,21:38.0,1568.751,32,41:32.6,510FA8B2,United Kingdom,Female,54,"Sep 11, 2020 10:55:32 am","Sep 11, 2020 11:21:31 am",Complete,0,0,0,English,0,1599836132_5f5b8fe4548611.39472557,positive,absent,5f5158c1573b9938ed97d812,bill_holiday.response,bill_holiday,response,Someone knocks on his door with his luggage ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
18,1117,0.6516434010000001-->0.34722975100000003,5f5bc4961a328c352fe86601,5d9db80fad89d50017a880e6,APPROVED,40:25.9,50:45.7,619.85,40,58:40.3,40D80FA4,United Kingdom,Male,27,"Sep 11, 2020 2:40:27 pm","Sep 11, 2020 2:50:42 pm",Complete,0,0,0,English,0,1599849627_5f5bc49b7c3b87.32227681,negative,present,5d9db80fad89d50017a880e6,bill_holiday.response,bill_holiday,response,"on his way home from the worst holiday ever Bill meets someone, in time they fall in love, get married and have children, after 50 years marriage they commit suicide together when Bill finds out he has a terminal illness",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
19,1161,0.012682074-->0.98793374,5f5cef114e9b77507940c037,55bbf175fdf99b47c7d10a22,APPROVED,53:57.0,04:51.6,654.655,27,09:46.5,3833C7F5,United Kingdom,Male,15,"Sep 12, 2020 11:53:58 am","Sep 12, 2020 12:04:49 pm",Complete,0,0,0,English,0,1599926038_5f5cef164d0aa2.44179562,negative,absent,55bbf175fdf99b47c7d10a22,bill_holiday.response,bill_holiday,response,"Just as he is arriving back home, his airline calls. They have delivered his luggage to the hotel. Bill is furious!",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
