,Unnamed: 0,random,session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,reviewed_at_datetime,entered_code,Nationality,Sex,Response ID,Time Started,Date Submitted,Status,Contact ID,Legacy Comments,Comments,Language,Referer,SessionID,valence_condition,means_condition,material,variable,user_id,material.variable,response,sw_neg_ans1,sw_neg_ans2,sw_neg_ans3,sw_neg_ans4,sw_neg_ans5,sw_neg_ans6,sw_neg_ans7,sw_neg_ans8,sw_neg_ans9,sw_neg_ans10,sw_other,sw_pos_ans1,sw_pos_ans2,sw_pos_ans3,sw_pos_ans4,sw_pos_ans5,neg,pos,neither,goal_object,non_goal_object,controllable,uncontrollable,neither_control
0,2603,0.075215989-->0.8272082390000001,5f5b66634775592894e7de0b,5f0ddc22e8572609f83725d4,APPROVED,58:30.5,07:32.3,541.746,32,16:23.6,4DE9B385,United Kingdom,Male,31,"Sep 11, 2020 7:58:32 am","Sep 11, 2020 8:07:29 am",Complete,0,0,0,English,0,1599825512_5f5b6668535ab1.98711552,positive,present,sally_wine,response,5f0ddc22e8572609f83725d4,sally_wine.response,the skies open and it rains on them heavily,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
1,2480,0.739834221-->0.7873226390000001,5f5cef73f0fc870a83507ed1,5de6b966dbc356646feb275b,APPROVED,01:22.1,13:37.0,734.921,29,09:57.0,3833C7F5,United Kingdom,Female,49,"Sep 12, 2020 12:01:26 pm","Sep 12, 2020 12:13:31 pm",Complete,0,0,0,English,0,1599926486_5f5cf0d6cac652.06117097,negative,absent,sally_wine,response,5de6b966dbc356646feb275b,sally_wine.response,the neighbour comes round to apologies for the argument and brings a bottle of wine.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
2,2478,0.282030777-->0.596791999,5f5cef59162162508656b173,5f2458749912ad00087e5677,APPROVED,55:05.7,31:07.8,2162.157,59,09:52.8,3833C7F5,United Kingdom,Female,20,"Sep 12, 2020 11:55:09 am","Sep 12, 2020 12:31:05 pm",Complete,0,0,0,English,0,1599926108_5f5cef5cdf7109.56196235,negative,absent,sally_wine,response,5f2458749912ad00087e5677,sally_wine.response,They continue to argue and then neighbour says 'this is ridiculous we have been friends for years.' The neighbour wants to make it up and invites her to have dinner and a bottle of wine at a restaurant.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
3,2433,0.215067736-->0.9935078159999999,5f5bc49c8bceaa35760701cf,5ea858d3147cf42814e07612,APPROVED,40:39.2,48:27.3,468.11,20,58:44.3,40D80FA4,United States,Male,26,"Sep 11, 2020 2:40:41 pm","Sep 11, 2020 2:48:25 pm",Complete,0,0,0,English,0,1599849641_5f5bc4a9607516.67899907,negative,present,sally_wine,response,5ea858d3147cf42814e07612,sally_wine.response,Someone steals her wine.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
4,2490,0.6842362790000001-->0.5301698420000001,5f5ceffa9adc850b2a4c8ad2,5f2129c9a6dae44937cfcb99,APPROVED,57:46.1,05:32.9,466.766,30,10:17.2,3833C7F5,United Kingdom,Female,28,"Sep 12, 2020 11:57:49 am","Sep 12, 2020 12:05:30 pm",Complete,0,0,0,English,0,1599926269_5f5ceffd292683.91572253,negative,absent,sally_wine,response,5f2129c9a6dae44937cfcb99,sally_wine.response,The neighbour pulls out a gun,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
5,2572,0.612464217-->0.0013632879999999998,5f5d34532f9ff756b6fe3124,5e57b60b2019d515eeadf114,APPROVED,49:23.4,57:03.6,460.186,27,11:38.9,40D80FA4,Ireland,Female,63,"Sep 12, 2020 4:49:26 pm","Sep 12, 2020 4:57:00 pm",Complete,0,0,0,English,0,1599943766_5f5d34566da713.40304541,negative,present,sally_wine,response,5e57b60b2019d515eeadf114,sally_wine.response,Sally accidentally drops her bottle of wine and it smashes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
6,2536,0.36800325899999997-->0.470541518,5f5b8e5974d6fd0d1e0a37c4,5c5f61170a2a3c000123dc45,APPROVED,49:03.2,02:09.3,786.18,52,40:38.1,510FA8B2,United Kingdom,Female,19,"Sep 11, 2020 10:49:06 am","Sep 11, 2020 11:02:05 am",Complete,0,0,0,English,0,1599835745_5f5b8e61e6e0e4.29555164,positive,absent,sally_wine,response,5c5f61170a2a3c000123dc45,sally_wine.response,the neighbour invites her in for wine,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
7,2513,0.596731573-->0.8156794709999999,5f5cf11ede3d5450b94bd1ed,5c8a616f692c6100013c845d,APPROVED,02:44.7,11:33.9,529.182,23,11:05.6,3833C7F5,United Kingdom,Female,52,"Sep 12, 2020 12:02:47 pm","Sep 12, 2020 12:11:30 pm",Complete,0,0,0,English,0,1599926567_5f5cf127299f63.52774819,negative,absent,sally_wine,response,5c8a616f692c6100013c845d,sally_wine.response,The neighbors end up making friends and the neighbor gives sally some wine.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
8,2576,0.11024543699999999-->0.445092895,5f5b648a10ec482868f3e7d0,5bccc1c50f10750001d7d693,APPROVED,50:46.6,57:32.3,405.721,24,15:08.5,4DE9B385,United Kingdom,Female,5,"Sep 11, 2020 7:50:49 am","Sep 11, 2020 7:57:30 am",Complete,0,0,0,English,0,1599825049_5f5b649949cfe7.45042199,positive,present,sally_wine,response,5bccc1c50f10750001d7d693,sally_wine.response,The neighbour tells her something unexpected about another friend. ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
9,2412,0.027966518-->0.094596141,5f5bc29dc81d3636092e13bd,5f0098df68eebf076ed649a4,APPROVED,31:59.6,39:04.7,425.049,44,58:02.4,40D80FA4,United Kingdom,Male,5,"Sep 11, 2020 2:32:01 pm","Sep 11, 2020 2:39:02 pm",Complete,0,0,0,English,0,1599849121_5f5bc2a1c61665.48567357,negative,present,sally_wine,response,5f0098df68eebf076ed649a4,sally_wine.response,She argued with the neighbour over loud noise ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
