,session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,reviewed_at_datetime,entered_code,Nationality,Sex,Response ID,Time Started,Date Submitted,Status,Contact ID,Legacy Comments,Comments,Language,Referer,SessionID,User Agent,Tags,valence_condition,means_condition,user_id,Sentiment - user_id,sarah_parents.response,Sentiment - sarah_parents.response,blue_team.response,Sentiment - blue_team.response,bill_holiday.response,Sentiment - bill_holiday.response,john_party.response,Sentiment - john_party.response,rebecca_swimming.response,Sentiment - rebecca_swimming.response,sally_wine.response,Sentiment - sally_wine.response,belinda_meeting.response,Sentiment - belinda_meeting.response,lucy_loan.response,Sentiment - lucy_loan.response,michael_breakfast.response,Sentiment - michael_breakfast.response,sean_call.response,Sentiment - sean_call.response,Have you ever taken part in a similar study before?,Prolific URL Redirect
1,5f5bc1037a4abb34a939eb9a,5b9588a921e7200001f59638,APPROVED,25:07.2,40:51.9,944.701,34,57:54.7,40D80FA4,United Kingdom,Female,1,"Sep 11, 2020 2:26:58 pm","Sep 11, 2020 2:40:50 pm",Complete,,,,English,,1599848818_5f5bc172d0c120.98838864,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36 Edg/85.0.564.51",,negative,present,5b9588a921e7200001f59638,0,The parents weren't home.,0,The Red team scored several quick goals.,0,His passport was missing.,-0.296,Johns wife takes over.,0,The tide pulls her.,0,Sally doesn't buy her wine and goes back home.,0,Belinda asks the taxi driver to drive around the block.,-0.4404,The bank refuses her loan.,0,Unsure.,-0.25,The signal goes.,0,No,
3,5f5bc1dec090eb355b1dade1,5cd02c98ec9cad001834e76a,APPROVED,28:52.0,37:35.9,523.956,27,57:58.4,40D80FA4,United Kingdom,Female,3,"Sep 11, 2020 2:29:02 pm","Sep 11, 2020 2:37:33 pm",Complete,,,,English,,1599848942_5f5bc1ee5b0c73.27485616,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",,negative,present,5cd02c98ec9cad001834e76a,0,An old friend answers the door instead of her parents,0.4939,The red team make an epic comeback and win the game 5-4,0.5859,"When his luggage arrives, he realises it is still the wrong case, however this one is full of valuable items.",0,They have an argument and end up ruining their own dinner party,-0.2023,A huge wave knocks rebecca over,0.3182,Sally drops her bottle of wine whilst distracted by her neighbour,-0.34,She takes a walk down the street and bumps in to a famous moviestar,0,Lucy is offered so much for her car that she doesn't need the bank loan,0,Michael felt depressed by his unhappy memories and decides to go back to bed.,-0.7269,His mother rings him whilst his phone is in his hand,0.4939,No,
4,5f5bc29061200835226b4985,5f47d4ac5db4230d1d4a41b2,APPROVED,31:47.8,45:39.7,831.847,38,58:00.4,40D80FA4,United Kingdom,Male,4,"Sep 11, 2020 2:31:51 pm","Sep 11, 2020 2:45:37 pm",Complete,,,,English,,1599849111_5f5bc2978a4c36.08165653,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Mobile/15E148 Safari/604.1",,negative,present,5f47d4ac5db4230d1d4a41b2,0,They were not in?,0,They got a player sent off.,0,Bill is suspected of spying and is held by the authorities.,-0.2263,They get into a fight.,-0.3818,A large yacht appears in the bay it is deserted.,0,During the argument the neighbour pushes Sally. Sally pushes back and the neighbour falls into the path of an oncoming vehicle.,-0.1806,She is early and can't get into the venue. She gets frustrated and shouts at the taxi driver who calls the cops.,-0.26335,She has an accident and the car is scraped.,-0.4767,"Michaels flashback brought back a memory that he had suppressed and he had a panic attack, fainted and woke up minutes later in the floor.",-0.7506,Someone steals his phone and runs away. Sean begins to give chase......,-0.2553,No,
5,5f5bc29dc81d3636092e13bd,5f0098df68eebf076ed649a4,APPROVED,31:59.6,39:04.7,425.049,44,58:02.4,40D80FA4,United Kingdom,Male,5,"Sep 11, 2020 2:32:01 pm","Sep 11, 2020 2:39:02 pm",Complete,,,,English,,1599849121_5f5bc2a1c61665.48567357,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Mobile/15E148 Safari/604.1",,negative,present,5f0098df68eebf076ed649a4,0,Nobody was home,0,The blue team lost ,-0.3182,He got robbed ,0,He throws the peeler at his wife,0,She drowned ,-0.5994,She argued with the neighbour over loud noise ,-0.3612,She was early ,0,She crashed the car ,0,He had bad memories of having no money ,-0.6908,He couldn't get through ,0,No,
6,5f5bc2c38ae8ac360d421d82,5ac888369534ba0001c763e1,APPROVED,32:42.9,42:33.9,590.935,49,58:04.5,40D80FA4,United Kingdom,Female,6,"Sep 11, 2020 2:32:45 pm","Sep 11, 2020 2:42:27 pm",Complete,,,,English,,1599849165_5f5bc2cd6931e3.59135886,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36",,negative,present,5ac888369534ba0001c763e1,0,Nobody is there,0,The second half the red team made a come back,0,He meets someone and falls in love,0.6369,He tidies up,0,The weather changes ,0,She gets in a huff and goes home without the wine,0,Nobody else is there,0,She decides to keep the car,0,Haven't a clue,0,The signal drops out,0,No,
7,5f5bc2d1c1774d3675585d32,58eec4b09fbdde00011e95b0,APPROVED,39:08.8,52:15.1,786.352,30,58:06.5,40D80FA4,United Kingdom,Male,38,"Sep 11, 2020 2:39:10 pm","Sep 11, 2020 2:52:10 pm",Complete,,,,English,,1599849550_5f5bc44e936b21.12647266,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",,negative,present,58eec4b09fbdde00011e95b0,0,Someone she does not know answers the door.,0,Storm breaks out that forces the game to be canceled or replayed at a later date.,0,He meets his ex girlfriend whilst on his holiday,0.4019,He stabs her in the neck with the peeler,-0.4404,She gets caught in a riptide.,0,The neighbor kills her.,-0.5423,She looks for somewhere to wait and gets mugged,0,Someone crashes into her parked car rendering it worthless.,-0.4404,his doorbell rings and an old friend is standing there.,0.4939,A bird poops on his shoulder.,0,No,
8,5f5bc2e228e7913657a6f586,57719c19b425c40001433b1f,APPROVED,33:12.6,54:12.6,1259.944,24,58:08.7,40D80FA4,United Kingdom,Female,7,"Sep 11, 2020 2:33:16 pm","Sep 11, 2020 2:54:08 pm",Complete,,,,English,,1599849196_5f5bc2eca81b85.66670942,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134",,negative,present,57719c19b425c40001433b1f,0,someone she doesnt recognise answers the door,0,the red team manage to get 5 goals in the second half,0,he comes home feeling sad about his holiday only for something worse to happen. his home is flooded and a disaster zone when he gets home,-0.54185,he manages to peel his finger and blood splirts everywhere,0,a whale appears while she swims in the sea,0,the neighbour goes to punch her but misses,-0.3291,"then she gets a phone call, her boss is calling and she mistook the time of the meeting , she is actually really late",0,someone who loves classic cars contacts her and offers to restore the car for her,0.7096,bang! someone breaks in through the back door. its a robbery,0,he has decided to stay long term in the foreign country and he knows his mum will be shocked,-0.3182,No,
9,5f5bc310f7a8c7368446ae73,56d1f9597bbc32000589a58d,APPROVED,33:56.7,41:37.7,461.036,57,58:10.8,40D80FA4,United Kingdom,Female,8,"Sep 11, 2020 2:33:58 pm","Sep 11, 2020 2:41:36 pm",Complete,,,,English,,1599849238_5f5bc316ca4fc5.78672144,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",,negative,present,56d1f9597bbc32000589a58d,0,Someone she didn't know answered the door,0,a rabbit ran across the pitch,0,He got a tummy upset and felt poorly,-0.3818,the dog ran off with the meat for dinner,0,It started to hail,0.0772,she falls over and breaks the bottle of wine,0,she saw a famous person walk past,0,she gets offered a large sum of money for it,0,he got a letter in the post from an old friend,0.4939,somebody bumped in to Sean and he dropped his phone,0,No,
11,5f5bc33de742b5368eb1fec9,5f219d5c62e3b6591773267f,APPROVED,34:40.4,01:40.4,1619.974,29,58:12.9,40D80FA4,United Kingdom,Female,9,"Sep 11, 2020 2:34:41 pm","Sep 11, 2020 3:01:37 pm",Complete,,,,English,,1599849281_5f5bc341b55a39.80856004,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",,negative,present,5f219d5c62e3b6591773267f,0,Someone different answered the front door. Another family member she perhaps wasn't expecting to be at her parent's home. ,0,"Just before they kick off for the second half, full of excitement the blue team's mascot dressed in a rabbit costume comes running onto the pitch wearing nothing but his head piece. He's streaking across the pitch. He's drunk again and the match is on hold whilst they're chasing the mascot around the field. ",-0.022266667,"When he opens his suitcase, he finds someone else's things in his case. He's having a rotten time, he hated the flight, he's scared of flying. His luggage was delayed and now he has the wrong case?! how can this be? After liaising with the airline, he finds the person who has taken his case. It's the woman of his dreams. Maybe this holiday wasn't so terrible after all.",-0.066328571,"His wife then grabs the potatoes and throws them in the bin. This seems a bit erratic, potatoes are still potatoes after all. ",0,As Rebecca is about to step into the sea she notices what looks like a shark fin in the sea. She thinks she must of mistaken what she saw so she keeps walking. She see's it again. She's not confident the water is safe so she turns around to the lifeguard to point it out but the lifeguards mouth is wide open in panic. It IS a shark. ,-0.13002,Sally wouldn't dare waste the bottle of wine she's just bought - it's far too valuable. But the pack of eggs she also bought however.... well she doesn't mind using a few of those to egg the neighbours front door. ,0.4682,"Her boss comes running out of the front door in a fluster, looking around, as Belinda gets out of the taxi he recognises her and comes running over. He's panicking because his company laptop has died and he doesn't have a charger with him and so wouldn't be able to host the presentation part of the meeting as planned. He was just about to rush around and try and find a charger to buy but luckily Belinda always comes prepared and has her own. ",0.0068,"Whilst looking around the dealership someone spots her car and approaches her and asks how much she's selling it on for. She replies she isn't. Her phone is ringing it and when she answers it, it's the bank calling back to say she's not eligible for a loan. She's now in a position where she's unable to buy a new car until she bites the bullet and lets her old car go - sentimental reasons and all. ",0.07955,He turns to get the milk out and finds the fridge door open. Everything is off. He can't have tea this morning. The cat has pulled the chicken out and looks very proud of himself for having a feast. ,0.1314,"Someone comes running up to him and snatches his phone straight from his hand. Great! He doesn't know his mother's number off by heart, he couldn't even call her from another phone if he wanted to! Now she'll panic and he regrets feelings so anxious about speaking with her. ",0.1597,No,
12,5f5bc34f1181c5355385f4f1,5f243136d49d850136696693,APPROVED,35:28.2,53:40.9,1092.755,22,58:15.0,40D80FA4,United States,Male,10,"Sep 11, 2020 2:35:30 pm","Sep 11, 2020 2:53:35 pm",Complete,,,,English,,1599849330_5f5bc3727e99a8.34376137,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:80.0) Gecko/20100101 Firefox/80.0,,negative,present,5f243136d49d850136696693,0,I think her parents aren't home.,0,The Red team wins.,0.5719,He has more fun at work than he did on his holiday.,0.7425,The recipe calls for potato peels.,0,The weather clears up after she leaves.,0.0772,Her neighbor bought the last bottle of wine as an apology gift to her.,0.4767,The meeting was cancelled.,-0.25,Her neighbor buys her old car.,0,He forgot to put water in the kettle.,0,His mother is on holiday in the same country.,0.4019,No,
14,5f5bc37146d14235cf6b0999,5f49396f5324cf32b7bee64b,APPROVED,35:44.5,52:37.9,1013.319,27,58:16.9,40D80FA4,Ireland,Male,12,"Sep 11, 2020 2:35:47 pm","Sep 11, 2020 2:52:35 pm",Complete,,,,English,,1599849347_5f5bc383092900.60818315,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36",,negative,present,5f49396f5324cf32b7bee64b,0,"The door opened, but the person standing there was neither of Sarah's parents.  A strange male, older than her father, was staring at her with a quizzical look on his face.",-0.10115,"The red team score 8 goals in the second half, conceding none.",0,"Bill returns home to find that he has won the lottery, and buys a fancy villa at the holiday destination he had just visited to celebrate.",0.8779,John gets angry and tries to stab his wife with the potato peeler.,-0.7964,"Rebecca runs away from the beach without saying a word, leaving the lifeguard speechless.",0,Sally remembers that she's schizophrenic and there is no neighbour.,-0.296,She asks the taxi driver to drive around the building continuously until her meeting time. The driver complies.,0,"Turns out, the car is a Transformer. However, unlike Shia LaBoeuf's car, this is a Decepticon...",0,"His lunatic ex calls him to tell him she is pregnant, and he's the father.",-0.4939,"His mother never answers the phone as she has ghosted Sean, moving house and changing her name and phone number. Sean was a bad son.",-0.23255,No,
15,5f5bc372c6768e3802055315,5f258c2c43c6770008f8abd2,APPROVED,39:30.4,47:53.4,503.046,35,58:18.7,40D80FA4,Ireland,Female,20,"Sep 11, 2020 2:39:32 pm","Sep 11, 2020 2:47:51 pm",Complete,,,,English,,1599849572_5f5bc464b6a866.65948808,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36",,negative,present,5f258c2c43c6770008f8abd2,0,Someone she wasn't expecting to answer the door does,0,The Red team scores and catches up ,0,He started to enjoy himself,0.4939,Guests arrived early,0,Because of the weather the sea was rough for swimming,0,The fight is resolved quickly,-0.2263,People started to arrive to the meeting ,0,She didn't need to get a loan ,0,He found a tea bag,0,He couldn't make the call,0,No,
16,5f5bc3863c138636b64f0259,56163e6e7ffc8a0005812df2,APPROVED,35:55.9,44:33.9,518.062,42,58:20.7,40D80FA4,United Kingdom,Female,13,"Sep 11, 2020 2:35:59 pm","Sep 11, 2020 2:44:30 pm",Complete,,,,English,,1599849359_5f5bc38f1f8e01.10916955,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.125 Safari/537.36",,negative,present,56163e6e7ffc8a0005812df2,0,Someone else answered the door and told her they had moved out,0,the red team rapidly score 5 goals,0,He comes home to find out he has to self quarantine and he loses his job,-0.3182,John stabbed her with the potato peeler,-0.4404,A shark appears and tears off her legs,-0.2263,they get arrested and get no dinner or wine after all,-0.6486,A bomb explodes in the office block and kills her,-0.8625,she wins the lottery and has a new car and is able to keep the old one,0.5719,He flips out in an angry rage and throws the tea pot across the room,-0.7845,"he gets a crossed line, actually gets through to a spanish waiter called pablo and they fall in love",0.6369,No,
